ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval,FNS93,93.TXT,0.81745,0.40844,0.54471,3

ROUGE-1+StopWordRemoval,FNS93,93.TXT,0.69268,0.35070,0.46565,3

ROUGE-2+StopWordRemoval,FNS93,93.TXT,0.60299,0.32627,0.42343,3

ROUGE-SU4+StopWordRemoval,FNS93,93.TXT,0.61723,0.33196,0.43173,3

ROUGE-L+StopWordRemoval,FNS92,92.TXT,0.77079,0.44551,0.56466,3

ROUGE-1+StopWordRemoval,FNS92,92.TXT,0.71444,0.43857,0.54350,3

ROUGE-2+StopWordRemoval,FNS92,92.TXT,0.61519,0.34980,0.44600,3

ROUGE-SU4+StopWordRemoval,FNS92,92.TXT,0.66115,0.37501,0.47857,3

ROUGE-L+StopWordRemoval,FNS73,73.TXT,0.80831,0.35624,0.49453,3

ROUGE-1+StopWordRemoval,FNS73,73.TXT,0.82685,0.34512,0.48698,3

ROUGE-2+StopWordRemoval,FNS73,73.TXT,0.63817,0.23981,0.34862,3

ROUGE-SU4+StopWordRemoval,FNS73,73.TXT,0.68011,0.27724,0.39391,3

ROUGE-L+StopWordRemoval,FNS72,72.TXT,0.83816,0.35591,0.49966,3

ROUGE-1+StopWordRemoval,FNS72,72.TXT,0.73927,0.35883,0.48315,3

ROUGE-2+StopWordRemoval,FNS72,72.TXT,0.72384,0.28268,0.40658,3

ROUGE-SU4+StopWordRemoval,FNS72,72.TXT,0.70698,0.30440,0.42557,3

ROUGE-L+StopWordRemoval,FNS102,102.TXT,0.73255,0.32965,0.45469,3

ROUGE-1+StopWordRemoval,FNS102,102.TXT,0.65097,0.33797,0.44494,3

ROUGE-2+StopWordRemoval,FNS102,102.TXT,0.48929,0.20703,0.29095,3

ROUGE-SU4+StopWordRemoval,FNS102,102.TXT,0.53132,0.23953,0.33020,3

ROUGE-L+StopWordRemoval,FNS105,105.TXT,0.66594,0.29468,0.40857,4

ROUGE-1+StopWordRemoval,FNS105,105.TXT,0.67996,0.29203,0.40858,4

ROUGE-2+StopWordRemoval,FNS105,105.TXT,0.40433,0.19828,0.26608,4

ROUGE-SU4+StopWordRemoval,FNS105,105.TXT,0.46662,0.22792,0.30626,4

ROUGE-L+StopWordRemoval,FNS104,104.TXT,0.57717,0.33672,0.42532,3

ROUGE-1+StopWordRemoval,FNS104,104.TXT,0.57868,0.32926,0.41971,3

ROUGE-2+StopWordRemoval,FNS104,104.TXT,0.41828,0.26972,0.32796,3

ROUGE-SU4+StopWordRemoval,FNS104,104.TXT,0.44989,0.28500,0.34895,3

ROUGE-L+StopWordRemoval,FNS106,106.TXT,0.76367,0.39983,0.52486,3

ROUGE-1+StopWordRemoval,FNS106,106.TXT,0.75122,0.39683,0.51932,3

ROUGE-2+StopWordRemoval,FNS106,106.TXT,0.54434,0.31936,0.40255,3

ROUGE-SU4+StopWordRemoval,FNS106,106.TXT,0.59167,0.34697,0.43742,3

ROUGE-L+StopWordRemoval,FNS67,67.TXT,0.57580,0.28502,0.38130,3

ROUGE-1+StopWordRemoval,FNS67,67.TXT,0.59588,0.28908,0.38930,3

ROUGE-2+StopWordRemoval,FNS67,67.TXT,0.33393,0.11252,0.16832,3

ROUGE-SU4+StopWordRemoval,FNS67,67.TXT,0.39807,0.16012,0.22838,3

ROUGE-L+StopWordRemoval,FNS109,109.TXT,0.83125,0.39784,0.53813,3

ROUGE-1+StopWordRemoval,FNS109,109.TXT,0.75364,0.36401,0.49091,3

ROUGE-2+StopWordRemoval,FNS109,109.TXT,0.65880,0.32672,0.43682,3

ROUGE-SU4+StopWordRemoval,FNS109,109.TXT,0.68966,0.33887,0.45445,3

ROUGE-L+StopWordRemoval,FNS108,108.TXT,0.70336,0.45774,0.55457,3

ROUGE-1+StopWordRemoval,FNS108,108.TXT,0.68161,0.45031,0.54232,3

ROUGE-2+StopWordRemoval,FNS108,108.TXT,0.53847,0.35042,0.42456,3

ROUGE-SU4+StopWordRemoval,FNS108,108.TXT,0.56973,0.37614,0.45313,3

